SystemType	Type Description
1	Object 
2	Project 
3	Unit 
4	Position 
7	SpecificationSet 
8	Device 
10	Specification 
11	Location 
12	DocObj 
15	CSpecificationSet 
18	DevSymbol 
20	CLink 
21	Connector 
22	StandardTable 
23	StandardValue 
27	PickList 
28	PickListEntry 
29	Document 
30	DocumentType 
31	PhysUnitGroup 
32	PhysUnit 
33	User 
34	Timestamp 
37	UserGroup 
38	Right 
40	Language 
41	ObjectRevision
42	WorkingOverlay
101	WorkSet 
102	TempCollection 
105	LinkInfo 
